date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:38:38	65/65	---M--	200	added ('OK')	text/plain	date:Tue,%2001%20Nov%202022%2013:37:21%20GMT	https://ivanariel.me/robots.txt		(from )
23:38:38	50323/50323	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2013:37:21%20GMT	https://ivanariel.me/	C:/My%20Web%20Sites/Ivan%20Ariel/ivanariel.me/index.html	(from )
23:38:39	930/930	---M--	200	added ('OK')	image/png	etag:4d7be1df78602b551885604721963733	https://cdn.myportfolio.com/61730789-38a7-40fe-9d29-fa8993d340cb/34b8c6cc-cd27-4961-95c0-ae10f26424e4_carw_1x1x32.png?h=d741d57d58f575906ee1024be05fdaba	C:/My%20Web%20Sites/Ivan%20Ariel/cdn.myportfolio.com/61730789-38a7-40fe-9d29-fa8993d340cb/34b8c6cc-cd27-4961-95c0-ae10f26424e4_carw_1x1x32db5e.png	(from https://ivanariel.me/)
23:38:39	6219/6219	---M--	200	added ('OK')	image/png	etag:8ed369950c5209a44cc558145eaf81b6	https://cdn.myportfolio.com/61730789-38a7-40fe-9d29-fa8993d340cb/5efcb600-5075-4b39-8b73-661e581ef292_carw_1x1x180.png?h=dac93d6a044d33307ee1b32abaea7010	C:/My%20Web%20Sites/Ivan%20Ariel/cdn.myportfolio.com/61730789-38a7-40fe-9d29-fa8993d340cb/5efcb600-5075-4b39-8b73-661e581ef292_carw_1x1x18088b1.png	(from https://ivanariel.me/)
23:38:39	11553/11553	---M--	200	added ('OK')	text/css	etag:%226349d3c7-2d21%22	https://ivanariel.me/dist/css/main.css	C:/My%20Web%20Sites/Ivan%20Ariel/ivanariel.me/dist/css/main.css	(from https://ivanariel.me/)
23:38:39	43756/43756	---M--	200	added ('OK')	text/css	etag:86e0aa4ae543bb132a367d1888fd8619	https://cdn.myportfolio.com/61730789-38a7-40fe-9d29-fa8993d340cb/4f23dc66cc3ed1c28cba52a158936f981667273520.css?h=1a33071b9da3ecd227d6354458e3d1b3	C:/My%20Web%20Sites/Ivan%20Ariel/cdn.myportfolio.com/61730789-38a7-40fe-9d29-fa8993d340cb/4f23dc66cc3ed1c28cba52a158936f9816672735204386.css	(from https://ivanariel.me/)
23:38:40	50323/50323	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2013:37:22%20GMT	https://ivanariel.me/projects	C:/My%20Web%20Sites/Ivan%20Ariel/ivanariel.me/projects.html	(from https://ivanariel.me/)
23:38:40	21994/21994	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2013:37:23%20GMT	https://ivanariel.me/edit	C:/My%20Web%20Sites/Ivan%20Ariel/ivanariel.me/edit.html	(from https://ivanariel.me/)
23:38:40	22000/22000	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2013:37:23%20GMT	https://ivanariel.me/motion	C:/My%20Web%20Sites/Ivan%20Ariel/ivanariel.me/motion.html	(from https://ivanariel.me/)
23:38:40	30541/30541	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202022%2013:37:23%20GMT	https://ivanariel.me/contacto	C:/My%20Web%20Sites/Ivan%20Ariel/ivanariel.me/contacto.html	(from https://ivanariel.me/)
